b_over_bcrit,b,deflection_rad,deflection_deg,gr_weak_field_rad,newtonian_rad
1.001,2.600674287564669,6.510644826713236,373.0324704793516,0.7690313275919092,0.3845156637959546
1.0179322033898304,2.6446654423975837,3.662244941695387,209.8311787022799,0.7562393215933025,0.37811966079665127
1.0348644067796609,2.6886565972304983,3.0295673613903498,173.58142355825208,0.7438659150670777,0.37193295753353883
1.0517966101694913,2.7326477520634125,2.6632043997667596,152.590372087307,0.7318908917147507,0.3659454458573754
1.068728813559322,2.776638906896328,2.408012769964074,137.9689687325482,0.7202953164102855,0.3601476582051428
1.0856610169491525,2.8206300617292426,2.2140134080912324,126.8536240690032,0.7090614352928866,0.3545307176464433
1.102593220338983,2.8646212165621567,2.0587023841669643,117.95495788628729,0.6981725850652631,0.34908629253263157
1.1195254237288135,2.9086123713950713,1.9300141575732992,110.58166562944707,0.6876131105227785,0.34380655526138926
1.136457627118644,2.952603526227986,1.8207300443479424,104.3201471738043,0.6773682894550501,0.33868414472752506
1.1533898305084744,2.9965946810609005,1.726190624514583,98.90343741973743,0.6674242641623889,0.33371213208119443
1.170322033898305,3.040585835893815,1.6432156071839605,94.1493191216679,0.657767978917154,0.328883989458577
1.1872542372881356,3.08457699072673,1.569539083907916,89.92796528875317,0.6483871227765327,0.3241935613882663
1.204186440677966,3.128568145559645,1.5034907149380459,86.14367250305678,0.6392700772200172,0.3196350386100086
1.2211186440677966,3.1725593003925594,1.4438046221899086,82.72391129296213,0.6304058681432774,0.3152029340716387
1.238050847457627,3.216550455225474,1.389499163378022,79.6124376985195,0.6217841217913691,0.31089206089568455
1.2549830508474575,3.2605416100583886,1.3397982262383028,76.76478376256858,0.6133950242592318,0.3066975121296159
1.271915254237288,3.3045327648913028,1.2940779561282492,74.14520524706438,0.6052292842270507,0.30261464211352535
1.2888474576271185,3.3485239197242174,1.2518296580904096,71.72455607788534,0.5972780986329997,0.29863904931649987
1.305779661016949,3.392515074557132,1.212633322559248,69.47877147957111,0.5895331210167387,0.29476656050836936
1.3227118644067797,3.436506229390047,1.1761383249022153,67.3877621404833,0.5819864322943434,0.2909932161471717
1.3396440677966102,3.4804973842229616,1.1420490883943524,65.43459276175948,0.5746305137495484,0.2873152568747742
1.3565762711864406,3.5244885390558762,1.1101142557916628,63.60486163416858,0.5674582220476594,0.2837291110238297
1.3735084745762711,3.568479693888791,1.0801183886447916,61.88622504381774,0.5604627660975919,0.28023138304879597
1.3904406779661016,3.6124708487217054,1.0518755187706086,60.26802779868988,0.5536376856044976,0.2768188428022488
1.4073728813559323,3.6564620035546205,1.0252240783197655,58.741012742912325,0.5469768311705974,0.2734884155852987
1.4243050847457628,3.700453158387535,1.000022869701569,57.29708985046095,0.5404743458153909,0.27023717290769544
1.4412372881355933,3.7444443132204497,0.9761478301292215,55.92915084725761,0.5341246477985083,0.26706232389925416
1.4581694915254237,3.7884354680533643,0.9534894102995395,54.6309190205813,0.5279224146393268,0.2639612073196634
