step,time,drift_vv,drift_rk4
119,5.95,4.781612982084362e-05,1.0185862470766445e-06
120,6.0,4.496065402424969e-05,1.0199638953745992e-06
121,6.050000000000001,4.253779794541568e-05,1.0210390939050959e-06
122,6.1000000000000005,4.053094901371696e-05,1.0218596280459056e-06
123,6.15,3.8909186600651465e-05,1.0224661238482516e-06
124,6.2,3.763357511732856e-05,1.0228919127627884e-06
125,6.25,3.665968817075951e-05,1.023163847532281e-06
126,6.300000000000001,3.59375886578435e-05,1.0233035412404515e-06
127,6.3500000000000005,3.540986904230663e-05,1.023328800774747e-06
128,6.4,3.500794658335206e-05,1.0232551797584978e-06
129,6.45,3.464651750664484e-05,1.0230976518021803e-06
130,6.5,3.4215851071305095e-05,1.0228724050934366e-06
131,6.550000000000001,3.357143055597227e-05,1.022598677603289e-06
132,6.6000000000000005,3.252033906114492e-05,1.0223003372090566e-06
133,6.65,3.080380686955508e-05,1.0220064554193465e-06
134,6.7,2.807562258550252e-05,1.0217492791134588e-06
135,6.75,2.3876920174248816e-05,1.021556557819341e-06
136,6.800000000000001,1.7609620213204288e-05,1.0214329544120845e-06
137,6.8500000000000005,8.514167392641638e-06,1.0213224960368372e-06
138,6.9,4.337053466991257e-06,1.021041941287272e-06
139,6.95,2.2010590801334434e-05,1.0201775117464893e-06
140,7.0,4.561626768507732e-05,1.0179528246066609e-06
141,7.050000000000001,7.6105456981146e-05,1.0131168747338764e-06
142,7.1000000000000005,0.0001139278303260208,1.0039759207600756e-06
143,7.15,0.00015854673425624578,9.887786542342237e-07
144,7.2,0.0002079005016018871,9.666593917817152e-07
145,7.25,0.0002580321465618325,9.390667446502301e-07
146,7.300000000000001,0.00030322537216329634,9.109667898623925e-07
147,7.3500000000000005,0.00033693579241878143,8.905037161320724e-07
148,7.4,0.0003534660136383746,8.861991402854923e-07
149,7.45,0.0003497991306348802,9.026763801289818e-07
150,7.5,0.00032668432328580036,9.378286787482809e-07
151,7.550000000000001,0.00028835734732364125,9.83776299982214e-07
152,7.6000000000000005,0.0002410591123572464,1.030878783738888e-06
153,7.65,0.00019116226140737116,1.071764055163275e-06
154,7.7,0.00014374591408865248,1.1030588898428553e-06
155,7.75,0.00010199469022810442,1.12479689929309e-06
156,7.800000000000001,6.730473444639001e-05,1.1388390580695535e-06
157,7.8500000000000005,3.9757395292933375e-05,1.1474848606950777e-06
158,7.9,1.865636051651971e-05,1.1527061287583801e-06
159,7.95,2.9614325697237685e-06,1.1559097844672265e-06
160,8.0,8.42726605710702e-06,1.157985442292053e-06
161,8.05,1.6515268529176038e-05,1.15944679495893e-06
162,8.1,2.2149889960901913e-05,1.1605690270427427e-06
163,8.15,2.6009346125984144e-05,1.161490071480147e-06
164,8.200000000000001,2.8618227860460358e-05,1.16227505846342e-06
165,8.25,3.0373005716075964e-05,1.1629534189289988e-06
166,8.3,3.156879836088666e-05,1.1635385349783133e-06
167,8.35,3.242338437403004e-05,1.1640373054164627e-06
168,8.4,3.3097093330764624e-05,1.164454330069968e-06
169,8.450000000000001,3.370853785308283e-05,1.1647934212530253e-06
170,8.5,3.43467111838809e-05,1.165057908983763e-06
171,8.55,3.50801388272404e-05,1.1652504622050086e-06
172,8.6,3.5963749232335835e-05,1.1653727633449053e-06
173,8.65,3.7044030464924284e-05,1.1654251636740568e-06
174,8.700000000000001,3.836292248242283e-05,1.1654063709516948e-06
175,8.75,3.99607807246254e-05,1.1653131659620294e-06
176,8.8,4.187864168877479e-05,1.1651401630656372e-06
177,8.85,4.415992031704142e-05,1.1648796213936358e-06
178,8.9,4.685156068475493e-05,1.164521386047671e-06
179,8.950000000000001,5.000452620609344e-05,1.1640530857427367e-06
180,9.0,5.367332259704828e-05,1.1634608632189097e-06
181,9.05,5.79139465737205e-05,1.1627311433203795e-06
182,9.1,6.277916434273989e-05,1.1618543693454645e-06
183,9.15,6.830921275446885e-05,1.1608323131119246e-06
184,9.200000000000001,7.45146647061943e-05,1.159691802550958e-06
185,9.25,8.134596554794977e-05,1.1585094703951333e-06
186,9.3,8.864052130812405e-05,1.1574547964683328e-06
187,9.35,9.603255736992706e-05,1.1568611935037172e-06
188,9.4,0.00010280277036078594,1.157334204777395e-06
189,9.450000000000001,0.00010763480704472141,1.1598909468119123e-06
190,9.5,0.00010823904641012926,1.1660666640083777e-06
191,9.55,0.00010081897282555779,1.1777570892080405e-06
192,9.600000000000001,7.943944444620618e-05,1.196184512235131e-06
193,9.65,3.5610844037954796e-05,1.218772228110529e-06
194,9.700000000000001,4.102922608559136e-05,1.2326119144772748e-06
195,9.75,0.00015921032678835862,1.2065544575353255e-06
196,9.8,0.00031780586442089846,1.095560909712974e-06
197,9.850000000000001,0.000494283170196552,8.833514358989495e-07
198,9.9,0.0006400550260035535,6.550947048205479e-07
199,9.950000000000001,0.0006984508295420155,5.880494446947115e-07
200,10.0,0.0006424684531879745,7.782252947076879e-07
201,10.05,0.0004967037513449938,1.1145760857830661e-06
202,10.100000000000001,0.0003173285032595054,1.4094104846617283e-06
203,10.15,0.00015406228790481054,1.5756712525005227e-06
204,10.200000000000001,3.0791916519549765e-05,1.6349184265723481e-06
205,10.25,5.0574288583734126e-05,1.6396391810999792e-06
206,10.3,9.853980403593794e-05,1.6270768008074657e-06
207,10.350000000000001,0.00012351612457030224,1.6140463288990849e-06
208,10.4,0.000134103323245191,1.6053283028622659e-06
209,10.450000000000001,0.00013630786121108474,1.6008712291796327e-06
210,10.5,0.00013392448231583354,1.5993956693417667e-06
211,10.55,0.00012915799633298383,1.5997053385953248e-06
