r_au,m_nfw_enclosed,v_keplerian,v_nfw_only,v_total
0.3,2.2005444476170184,25.819888974716115,2.7083478651612305,25.961544923701865
0.349498997995992,2.9274145767255177,23.921699488581876,2.894137416638644,24.09613532930968
0.39899799599198393,3.740722966892755,22.388739366630745,3.0619099626187167,22.597144577271372
0.44849699398797593,4.635202764156576,21.1171463395593,3.2148047410843126,21.36045034753858
0.49799599198396793,5.605928954452763,20.04020104559049,3.355141733129022,20.319119911971338
0.5474949899799599,6.648292684339488,19.112826750977582,3.4846967522188517,19.427898956598703
0.5969939879759518,7.757977802761842,18.30332617064532,3.6048673427053304,18.654940832592672
0.6464929859719438,8.93093940597138,17.58867358028175,3.716778349675844,17.977093191456742
0.6959919839679358,10.16338419160656,16.951685209516985,3.8213520745340714,17.377064283707497
0.7454909819639278,11.45175244894639,16.379242042673194,3.91935659357401,16.841642615851494
0.7949899799599198,12.79270153083617,15.861131670133847,4.011440051004282,16.360536334121942
0.8444889779559117,14.183090669095927,15.389269494266358,4.098155628277262,15.925592457448412
0.8939879759519038,15.619967009628906,14.95716067502176,4.179980130194997,15.53025722089761
0.9434869739478957,17.100552756196237,14.55951953794736,4.257328088102819,15.169194165334561
0.9929859719438876,18.62223332312371,14.191994730476363,4.3305626437893165,14.838008196575858
1.0424849699398797,20.182546407235378,13.850967068587734,4.400004075618165,14.533042510106352
1.0919839679358716,21.779171898223066,13.53339839384851,4.465936567411022,14.251226666878903
1.1414829659318637,23.409922554599337,13.236716894959391,4.528613647001481,13.989961248020363
1.1909819639278556,25.07273537945462,12.958728933084618,4.588262603378677,13.747029107364533
1.2404809619238475,26.765663636558717,12.697550423322884,4.645088109548079,13.520526258185816
1.2899799599198396,28.486869452990423,12.451552844769097,4.699275220534083,13.308807453878165
1.3394789579158317,30.23461695953519,12.219320330840663,4.7509918745828195,13.11044290403829
1.3889779559118236,32.00726592461986,11.999615248965883,4.800390995531235,12.924183526752934
1.4384769539078155,33.80326584161914,11.791350353528408,4.84761227212225,12.74893281418036
