theta,mean_relative_error,max_relative_error,hernquist_bound
0.3,0.0013147866907503014,0.010270442190222592,0.20249999999999999
0.4,0.0031357239722699893,0.019434468429369675,0.3600000000000001
0.5,0.005814371966915663,0.02581439875843882,0.5625
0.6,0.011057201257520197,0.10386562310639548,0.8099999999999999
0.7,0.017725833640225147,0.3159734279054315,1.1024999999999998
0.8,0.027718064045456455,0.3850066050565601,1.4400000000000004
0.9,0.03776140500520119,0.5253345884565076,1.8225000000000002
