Q_init,r_min,r_max,mass_ratio,L_norm,E_spec,v_spread,outcome
0.5298772479638196,7.69802663013845,10.036852798473898,0.4311504012705561,0.682848156944279,-0.18635760127029957,0.19490968152355131,0
0.7315759787175562,7.933735804665061,10.559510790301976,0.39052598429884045,0.5308056137537398,-0.14027960234752018,0.11277192798223716,0
1.4532520120317896,1.5135440261749826,8.167383416482934,0.39600917848276723,0.6165797985393612,-0.10509891048323344,0.05032982669515634,1
2.1704067620076177,5.913190707266628,12.07963461732834,0.4637792783408608,0.496608567331689,0.0135380985070945,0.19875749408123222,1
0.8817787469318886,7.676875775950925,9.965200218068945,0.5142025254542819,0.5641485749399539,-0.06166000348159853,0.1643276256484548,0
0.5991837368149989,5.386438625252695,8.184751309059205,0.4453618817876542,0.518382714513153,-0.17401331508159912,0.28447225743364896,0
1.0872683088450317,2.959057379956662,5.720447182912478,0.5565031864571587,0.2054610018372232,-0.13881114951812734,0.1723612294603246,0
1.242272433310931,1.9953213127577043,7.752971290354645,0.48323527248687864,0.757956831583328,-0.11053881317526162,0.07730470389687838,0
1.0090050227372684,6.419805800342042,8.606489075885845,0.4005694718104594,0.675119728551135,-0.11875949103734948,0.070784108898818,0
1.85901841626057,4.092845543950688,9.111165848940512,0.3751607933312282,0.8337039874875447,-0.027666749275199604,0.17046680047351018,1
1.6953363986218262,1.9465328816354928,4.1413524131619885,0.35550865923080216,0.7883830259321876,-0.09201379483807454,0.04890622194475019,0
2.0669755374580103,6.523211882074989,11.318544354085292,0.46083874835961436,0.8552896910531006,0.0072071519133973016,0.1263931089919405,0
1.467736679326801,7.351862985981535,12.811559601216784,0.5206836995572744,0.6809924863874561,-0.046057499580631586,0.26920363837934724,1
2.9774714206079533,8.538093016902591,10.169472554470948,0.43231394892538283,0.4471887618124494,0.11243618167289501,0.24401746863420742,1
1.2568878514658812,1.8316216115786812,7.9785159754385395,0.4121190852589683,0.5264882801368233,-0.12141798666958324,0.2713505349023901,0
1.4561133566242588,2.310962557646648,7.667310867709064,0.4632582317905754,0.2864680954264618,-0.09425757478684704,0.3109987642049682,0
0.6706366319613606,5.465580908382714,11.096998492775164,0.5375347645194047,0.23841561746753623,-0.11259368396174055,0.1313964576291394,0
1.1787385198816347,4.605637238546015,7.2042288277220745,0.4622991102528455,0.5585626315445362,-0.1356602062689938,0.1489522353954126,0
